"","Crime.ID","Month","Reported.by","Falls.within","Longitude","Latitude","Location","LSOA.code","LSOA.name","Crime.type","Last.outcome.category","Context"
"2589","2e5a86ab6cbb3ebb011ce8f72aac57b4abb904bf14763007dbc31bd13ac2d09e","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.392465,51.949853,"On or near Postern","W01000492","Powys 017D","Criminal damage and arson","Under investigation",NA
"2590","fbb2109e7983745746dc028429a26e49dbf6f6effdbca3e114556f29115682a0","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.390089,51.947372,"On or near Lion Street","W01000492","Powys 017D","Criminal damage and arson","No further action at this time",NA
"2614","b0deb549151252c555390ab8c73b0eb9b41e467b74591dd420791a244709bc55","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.397005,51.952676,"On or near Coryton Close","W01001901","Powys 017F","Criminal damage and arson","Under investigation",NA
"2615","bf2175ada38b2a6cc0c851448a8b8ee0ca2b9b9b4663fbc2dd4230f0d43994a7","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.395837,51.952079,"On or near Bryn De Winton","W01001901","Powys 017F","Criminal damage and arson","No further action at this time",NA
"2626","de7ad45d230d6a5a09a2dd125c3536e86e93eea00a7ac2706bd91681e9b7355c","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.40266,51.953427,"On or near Cradoc Road","W01001902","Powys 017G","Criminal damage and arson","Under investigation",NA
"2641","9efd593f30e745bc7d76f5bb84a7ce487eeb75257c289fd886a264d427d2a325","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.142426,51.861104,"On or near Sports/Recreation Area","W01001903","Powys 018F","Criminal damage and arson","Offender given a caution",NA
"2642","8e304dd5697a63874baab48bdd98377fe46c7976fa111640c2dcc8be9fd6d18f","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.134195,51.85774,"On or near Cwrt Newydd","W01001903","Powys 018F","Criminal damage and arson","Offender given a caution",NA
"2652","fc2d5d735f4f242f5e05237368c22099dcc7505f7d6b9f112e0fae0682656f15","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.586609,51.914531,"On or near Parking Area","W01000474","Powys 020B","Criminal damage and arson","No further action at this time",NA
"2653","38576dced3c74bc1ec6a004ff8319961bccab9c962f7685f9fa5f3fd4771c378","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.568805,51.947248,"On or near High Street","W01000474","Powys 020B","Criminal damage and arson","No further action at this time",NA
"2663","4ce55e66f47fd4776133905d5e8682792c8ae2529e67d5440356636a5c376d28","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.470377,51.849917,"On or near A4059","W01001897","Powys 020D","Criminal damage and arson","No further action at this time",NA
"2664","31145ff4fcebb3e2d8d8c5ec7dd4336a661a00ad6e9eec9d38eb18e8a47daa75","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.438657,51.942374,"On or near Heol Sant Cattwg","W01001897","Powys 020D","Criminal damage and arson","Under investigation",NA
"2677","ac5039972d1e37b9dc59154dec55b233b749adcc589d775f1f7f08683a2f9e2c","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.720681,51.800357,"On or near Henneuadd","W01000426","Powys 021A","Criminal damage and arson","Under investigation",NA
"2687","5b713adc913c1d7dd36960861b4f5cb2e1478ace056bdaa5588c5b0449b50555","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.545589,51.799184,"On or near Parking Area","W01000496","Powys 021B","Criminal damage and arson","No further action at this time",NA
"2710","1b73458ef40029667b5871a337e52fbdf1d9feb42f0a85dcf0827cf85ff6b21b","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.754561,51.780199,"On or near Bryn Road","W01000504","Powys 021D","Criminal damage and arson","No further action at this time",NA
"2711","24302f50671ff23d0ea4ff51e0be9303527453f320f854436e556d7fd0e0903b","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.754118,51.780368,"On or near Brynheulog","W01000504","Powys 021D","Criminal damage and arson","No further action at this time",NA
"2718","4dcf0585c161a96940faa1c9343df1d6bf37379a24163b928b01786a3f2e8f08","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.758136,51.778554,"On or near Temperance Lane","W01000505","Powys 021E","Criminal damage and arson","Under investigation",NA
"2757","4ab03e5c43b3d4f02b1143c6de11a4fc903de14b8704255dcf3892dcecc5c9a5","2013-12","Gwent Police","Gwent Police",-3.211023,51.800346,"On or near Bryn Coch","W01001441","Blaenau Gwent 001B","Criminal damage and arson","Under investigation",NA
"2758","e19e2a97c8c47adecccc658befdb5ff50d6d2682cf14588f8645293edfb1c14a","2013-12","Gwent Police","Gwent Police",-3.210621,51.802661,"On or near Prince Philip Avenue","W01001441","Blaenau Gwent 001B","Criminal damage and arson","Under investigation",NA
"2765","7e39cd8e20169e7e4cb41dfc44dfe4860232e00b40eea0833aea9bab1b3727a1","2013-12","Gwent Police","Gwent Police",-3.219519,51.803477,"On or near Maple Way","W01001470","Blaenau Gwent 001D","Criminal damage and arson","Under investigation",NA
"2766","c8f6888c5e4fbfd4c0194cb1d49bb5a1340f3f60c6fb5fe9aa3890e44dec3bd9","2013-12","Gwent Police","Gwent Police",-3.234347,51.796246,"On or near Pedestrian Subway","W01001470","Blaenau Gwent 001D","Criminal damage and arson","Under investigation",NA
"2774","4cc6579be9e5b93718000ae13b08b83cbdc1c5b6df719219a09caa54068d3ee9","2013-12","Gwent Police","Gwent Police",-3.171046,51.802819,"On or near Intermediate Road","W01001446","Blaenau Gwent 002A","Criminal damage and arson","No further action at this time",NA
"2776","994c6214b14375e8d17b26ee41c6810b7722b56b83d9f36cff2ec43be27d0138","2013-12","Gwent Police","Gwent Police",-3.187296,51.799761,"On or near Heol Helig","W01001447","Blaenau Gwent 002B","Criminal damage and arson","Under investigation",NA
"2787","a8373c4eb03114a4b0afc39c8a10a5a912830eed629f1b75f5ad98c98673abdf","2013-12","Gwent Police","Gwent Police",-3.173224,51.79787,"On or near Gladstone Street","W01001448","Blaenau Gwent 002C","Criminal damage and arson","No further action at this time",NA
"2788","971639923a1d308b97bf700bfe39dcfda16b114cf9eccdc450d0a40ef0c1a732","2013-12","Gwent Police","Gwent Police",-3.174709,51.796974,"On or near Station Road","W01001448","Blaenau Gwent 002C","Criminal damage and arson","Under investigation",NA
"2789","f757b461c1dc2292238edde4c9ac56018818e40e3eb53f68175d1cc6ee469829","2013-12","Gwent Police","Gwent Police",-3.174709,51.796974,"On or near Station Road","W01001448","Blaenau Gwent 002C","Criminal damage and arson","No further action at this time",NA
"2790","bcde043dc849932933c17f02a272f701d04e41240992c4c5ebdba8b98c367a60","2013-12","Gwent Police","Gwent Police",-3.176154,51.79847,"On or near Parking Area","W01001448","Blaenau Gwent 002C","Criminal damage and arson","Under investigation",NA
"2807","db8511bc04b534ac634e598e7f6d1a6db2ad93044e5775a993f60a4f1979cc1d","2013-12","Gwent Police","Gwent Police",-3.181794,51.800095,"On or near Cemetrey Road","W01001449","Blaenau Gwent 002D","Criminal damage and arson","No further action at this time",NA
"2808","cbd8c140733cf60eb2c74cf773cd998b5fae25f120e3721178a0ff9ef5bceab1","2013-12","Gwent Police","Gwent Police",-3.181369,51.801007,"On or near Harcourt Road","W01001449","Blaenau Gwent 002D","Criminal damage and arson","Awaiting court outcome",NA
"2809","36c98e10bf5450e86b8e720133dd829b514edf20c8139b4e955cee10e7f00f02","2013-12","Gwent Police","Gwent Police",-3.181794,51.800095,"On or near Cemetrey Road","W01001449","Blaenau Gwent 002D","Criminal damage and arson","No further action at this time",NA
"2810","a197463c4608531159c0b05c7f20d50d28c79fde34b14db388378baaea33d554","2013-12","Gwent Police","Gwent Police",-3.183226,51.801034,"On or near Gurnos Estate","W01001449","Blaenau Gwent 002D","Criminal damage and arson","Under investigation",NA
"2811","b6fed66485781ba6b6c01d13e9d87a6351d8fffd0c0470f0fccda03cc6d407ee","2013-12","Gwent Police","Gwent Police",-3.17774,51.801997,"On or near Brynawel","W01001449","Blaenau Gwent 002D","Criminal damage and arson","Under investigation",NA
"2824","b0df8bd2ad918e54cfe8a757909215d0ab6c694c20365677b523b5f29309fa54","2013-12","Gwent Police","Gwent Police",-3.241425,51.786263,"On or near Shepherds Close","W01001473","Blaenau Gwent 003B","Criminal damage and arson","Offender given a caution",NA
"2825","82c950be293ef6a07d8ba31816dbcf7b2cb58159736c8606595f102fd79c47c3","2013-12","Gwent Police","Gwent Police",-3.239679,51.78549,"On or near Rhoslan","W01001473","Blaenau Gwent 003B","Criminal damage and arson","Offender given a caution",NA
"2839","7e61d201b1f45adb10606e3c638b43086a7f06650739d4e85d11761d3c6baf7f","2013-12","Gwent Police","Gwent Police",-3.26419,51.789995,"On or near Waundeg","W01001474","Blaenau Gwent 003C","Criminal damage and arson","Under investigation",NA
"2844","b0e60746777d36237e09ab84e41acb449963c9eae309211b36f00b6d66a636f2","2013-12","Gwent Police","Gwent Police",-3.242041,51.779639,"On or near Alexandra Place","W01001475","Blaenau Gwent 003D","Criminal damage and arson","Under investigation",NA
"2866","f3ee1081e9dcad456dbb13f171e8a9cc23f9be8985be695a72f01eae4c78f277","2013-12","Gwent Police","Gwent Police",-3.220867,51.792718,"On or near A4047","W01001438","Blaenau Gwent 004A","Criminal damage and arson","No further action at this time",NA
"2867","bf07a1f637010155391dd7102c40ab8989f68f2c8ff5009db09473a5b10e65b3","2013-12","Gwent Police","Gwent Police",-3.220867,51.792718,"On or near A4047","W01001438","Blaenau Gwent 004A","Criminal damage and arson","No further action at this time",NA
"2868","715076b89469a14880b60173b5c4d34b6bb9f4a3fe918956d70a4a002ea80d59","2013-12","Gwent Police","Gwent Police",-3.213947,51.792574,"On or near Tir-Y-Berth","W01001438","Blaenau Gwent 004A","Criminal damage and arson","Under investigation",NA
"2875","cc3bdfef44a0bf28a31cfd3140167889d510814f266d00ebacd4bf5a245e1034","2013-12","Gwent Police","Gwent Police",-3.20626,51.792482,"On or near Beaufort Terrace","W01001439","Blaenau Gwent 004B","Criminal damage and arson","Under investigation",NA
"2876","437f71f1510d524aa7d99d4c31a3965a24ab952f744abedfe1e015c1731c98fd","2013-12","Gwent Police","Gwent Police",-3.209828,51.78929,"On or near Lilian Grove","W01001439","Blaenau Gwent 004B","Criminal damage and arson","No further action at this time",NA
"2877","5bcca106b6ddd665c44c7395b1b7fc84c93d0ccafcc255939b5d768e88a3381f","2013-12","Gwent Police","Gwent Police",-3.203103,51.791013,"On or near Tyr Meddyg","W01001439","Blaenau Gwent 004B","Criminal damage and arson","Under investigation",NA
"2887","89ae6284ed52c67a8950a1c1a4222d531f05f27ca9f0cfe2d8e9794c8b836e3e","2013-12","Gwent Police","Gwent Police",-3.203656,51.782933,"On or near Princes Court","W01001456","Blaenau Gwent 004C","Criminal damage and arson","Under investigation",NA
"2888","1db68da74c4c3981163d38308e4c9a2c5b6b80c9855e51300af015dd470f9270","2013-12","Gwent Police","Gwent Police",-3.201111,51.783175,"On or near Parc Bychan","W01001456","Blaenau Gwent 004C","Criminal damage and arson","Under investigation",NA
"2889","de9aa78d2247b213e0fa11bb2dd9548a1424b802194e2cab36de8017e668c413","2013-12","Gwent Police","Gwent Police",-3.202871,51.784461,"On or near Hendre","W01001456","Blaenau Gwent 004C","Criminal damage and arson","Under investigation",NA
"2899","dfdef61bb40068195f9ff2ad4ea6e9e507ac955bee0ebecd0df87f0db1e62e91","2013-12","Gwent Police","Gwent Police",-3.222606,51.777648,"On or near Heol-Yr-Ysgol","W01001457","Blaenau Gwent 004D","Criminal damage and arson","Under investigation",NA
"2900","650fe1817b99ddb5637040170dadb2819b7aad9fda0d55587f09672a3014fec2","2013-12","Gwent Police","Gwent Police",-3.217855,51.778858,"On or near Trenant","W01001457","Blaenau Gwent 004D","Criminal damage and arson","Under investigation",NA
"2901","16fd0a1d1b1e6b4f3b6815e8565e93eaa726fc1ba105c142bf4563b257bfb899","2013-12","Gwent Police","Gwent Police",-3.225829,51.779458,"On or near Bryn-Y-Gwynt","W01001457","Blaenau Gwent 004D","Criminal damage and arson","Under investigation",NA
"2910","4202ec4aa03f0703654e04941498e1aed56c75cebeb91a200cf074c8f6b03d28","2013-12","Gwent Police","Gwent Police",-3.21583,51.782259,"On or near David Street","W01001458","Blaenau Gwent 004E","Criminal damage and arson","Under investigation",NA
"2911","b131483d1d144cb5616a49540a4a4490017e736e1c48364000b38c45403f1c5f","2013-12","Gwent Police","Gwent Police",-3.212634,51.782005,"On or near Brynheulog Street","W01001458","Blaenau Gwent 004E","Criminal damage and arson","Under investigation",NA
"2932","4266e609fd2843abc021468d91db13c3d38c0539cb09f6cfd80f896dc1e308ab","2013-12","Gwent Police","Gwent Police",-3.159699,51.76586,"On or near Hope Street","W01001443","Blaenau Gwent 005A","Criminal damage and arson","Under investigation",NA
"2933","2a0dc46d18886eca101aee957d67c8df50040c7ecd6e0f768a30263fac518685","2013-12","Gwent Police","Gwent Police",-3.159387,51.765548,"On or near Cross Street","W01001443","Blaenau Gwent 005A","Criminal damage and arson","Under investigation",NA
"2956","b4910671130e12519ccd853a0cb1a6571fbb07117b19320699e062bf5b6ed43c","2013-12","Gwent Police","Gwent Police",-3.157819,51.759791,"On or near Lancaster Street","W01001445","Blaenau Gwent 005C","Criminal damage and arson","Offender given a caution",NA
"2957","30fc3cfb23951869c8c1396a0588d70d7e833d9ae3f8c3cb2a94917d37930a6d","2013-12","Gwent Police","Gwent Police",-3.155883,51.760017,"On or near Maeshafod","W01001445","Blaenau Gwent 005C","Criminal damage and arson","Under investigation",NA
"2982","7565025c70d5373b4076e1586b29f446b28061ec515fe542b94a556abdae7916","2013-12","Gwent Police","Gwent Police",-3.168677,51.786352,"On or near Garn Road","W01001467","Blaenau Gwent 005D","Criminal damage and arson","Under investigation",NA
"2983","0a69c3c1e91e48cdff708ded270dee684a6369ff5a551707bf1eb08de471c573","2013-12","Gwent Police","Gwent Police",-3.169495,51.789392,"On or near Porters Road","W01001467","Blaenau Gwent 005D","Criminal damage and arson","Offender given conditional discharge",NA
"2984","a8fae2b7937d3c86f9f91a2938c10fa1bb5a267c2a402b4fd86f3c6e2e9ae208","2013-12","Gwent Police","Gwent Police",-3.17441,51.78714,"On or near Roundhouse Close","W01001467","Blaenau Gwent 005D","Criminal damage and arson","Under investigation",NA
"2999","db9e3fcf330ddc89f87e579c9183fff78c976261f9e67cdaa3c97b9d4e4a3a1a","2013-12","Gwent Police","Gwent Police",-3.166792,51.78299,"On or near Ffosmaen Road","W01001468","Blaenau Gwent 005E","Criminal damage and arson","No further action at this time",NA
"3016","ffc01b557f1208b79fcd6f288b62787779672a844f6f0f787be2206b58905343","2013-12","Gwent Police","Gwent Police",-3.238427,51.767331,"On or near Elmwood","W01001462","Blaenau Gwent 006A","Criminal damage and arson","Under investigation",NA
"3017","14d12c837a6aa905837f087c44e05dfe758374296eda55f065d5babe45c40979","2013-12","Gwent Police","Gwent Police",-3.238427,51.767331,"On or near Elmwood","W01001462","Blaenau Gwent 006A","Criminal damage and arson","Under investigation",NA
"3018","588c6ca919de0bf24c0efc1836780efb337cfabde294f88abcc0cdd05259cb81","2013-12","Gwent Police","Gwent Police",-3.238416,51.774327,"On or near St James Way","W01001462","Blaenau Gwent 006A","Criminal damage and arson","Under investigation",NA
"3025","df11f8035163519f52aefdf61c15512f9c229558e08d8fc3688464955d2d4596","2013-12","Gwent Police","Gwent Police",-3.232993,51.765195,"On or near Whitworth Terrace","W01001463","Blaenau Gwent 006B","Criminal damage and arson","No further action at this time",NA
"3026","3531ffb97732e542dfbf859c08a5341c96b6cf5cea5137536192056719fdf2b3","2013-12","Gwent Police","Gwent Police",-3.239976,51.768331,"On or near Parking Area","W01001463","Blaenau Gwent 006B","Criminal damage and arson","Under investigation",NA
"3027","86058f73a07913486d3f8e26b3d64bc00a1f59885bcbd7b1d67ddd24e5311968","2013-12","Gwent Police","Gwent Police",-3.237769,51.765504,"On or near Rawlinson Terrace","W01001463","Blaenau Gwent 006B","Criminal damage and arson","No further action at this time",NA
"3033","55134e57c26c868d84e49ec84caf8f91420c5553bb821dfc552e83bf4d5ac2ca","2013-12","Gwent Police","Gwent Police",-3.24425,51.765624,"On or near Sports/Recreation Area","W01001478","Blaenau Gwent 006C","Criminal damage and arson","Under investigation",NA
"3034","e0f8747a2c36ba3365c04f97f40e6c6454c4a04bf13153300e37e2c6a847e82f","2013-12","Gwent Police","Gwent Police",-3.248601,51.768914,"On or near Pencoed","W01001478","Blaenau Gwent 006C","Criminal damage and arson","Under investigation",NA
"3082","f0bc7ed26f08dad33165c89acaa5aa707855f3a279e4caad9764a790c000f671","2013-12","Gwent Police","Gwent Police",-3.247356,51.775275,"On or near Rhiw Aneurin","W01001481","Blaenau Gwent 006E","Criminal damage and arson","Under investigation",NA
"3083","c4a1be97967ea74c2cbc7268a37b3683b4b64de8a17abee31bc89b769cb157d9","2013-12","Gwent Police","Gwent Police",-3.247748,51.77109,"On or near Harcourt Terrace","W01001481","Blaenau Gwent 006E","Criminal damage and arson","Under investigation",NA
"3084","c74bca6e740fc7f877c81402a21721f0753cf7ab4f0e9345c4e3a3b94105dab1","2013-12","Gwent Police","Gwent Police",-3.246205,51.774541,"On or near Commercial Street","W01001481","Blaenau Gwent 006E","Criminal damage and arson","Under investigation",NA
"3085","fe0d35657c5c04648a4936294819fe1bfbec38e4f9c533f456fff22397dcd55c","2013-12","Gwent Police","Gwent Police",-3.249773,51.782497,"On or near Charles Street","W01001481","Blaenau Gwent 006E","Criminal damage and arson","No further action at this time",NA
"3086","f7478529965ebd432c53881747a2cb824cc27c77e62c2410bb0ba65a329c7d7a","2013-12","Gwent Police","Gwent Police",-3.246205,51.774541,"On or near Commercial Street","W01001481","Blaenau Gwent 006E","Criminal damage and arson","Under investigation",NA
"3087","e0639ab3214b483b3c89d6d5830180e506d5fe333f1c0b2f64a2891efcef8f9b","2013-12","Gwent Police","Gwent Police",-3.246205,51.774541,"On or near Commercial Street","W01001481","Blaenau Gwent 006E","Criminal damage and arson","Under investigation",NA
"3088","56a3085b0863de830b97fade084d0e71b1482179fd3b879ca09ec9350511ae56","2013-12","Gwent Police","Gwent Police",-3.245191,51.775065,"On or near Pedestrian Subway","W01001481","Blaenau Gwent 006E","Criminal damage and arson","No further action at this time",NA
"3089","c288c9c26b80f9ca36b832272bbe53d8d0800332c5de5e80c1c2fe5ce1a71394","2013-12","Gwent Police","Gwent Police",-3.245191,51.775065,"On or near Pedestrian Subway","W01001481","Blaenau Gwent 006E","Criminal damage and arson","Under investigation",NA
"3110","06501dc723cd884bd845ca489c0698cfe26dcd77987a01cfd468c11d5fbd41a9","2013-12","Gwent Police","Gwent Police",-3.189883,51.745966,"On or near Sports/Recreation Area","W01001450","Blaenau Gwent 007A","Criminal damage and arson","Under investigation",NA
"3111","944e27083a34cf5184ba113a99e7d642c73c2d44a82d15358870d48e799d0983","2013-12","Gwent Police","Gwent Police",-3.183035,51.741098,"On or near Brook Place","W01001450","Blaenau Gwent 007A","Criminal damage and arson","Under investigation",NA
"3118","638aea6e767007d5ad46bd9acd81beb1a87da7f899f6aa0fbb8035bae383235c","2013-12","Gwent Police","Gwent Police",-3.185291,51.742074,"On or near Oak Street","W01001451","Blaenau Gwent 007B","Criminal damage and arson","Under investigation",NA
"3119","214fa7948fc1b1b226ebf073d17588ea95b80809b3887cd0f88fd0dff004cb64","2013-12","Gwent Police","Gwent Police",-3.185291,51.742074,"On or near Oak Street","W01001451","Blaenau Gwent 007B","Criminal damage and arson","Under investigation",NA
"3121","89b6e1b7e832ac6723b5c58b29a624823bc620ef06a2b4e2fcb9035f8c11eed2","2013-12","Gwent Police","Gwent Police",-3.197958,51.754965,"On or near Village Lane","W01001452","Blaenau Gwent 007C","Criminal damage and arson","Under investigation",NA
"3133","85e1a5a8f2cb6919511133f0fc713ae2b36607084013f9f6eca5852884540674","2013-12","Gwent Police","Gwent Police",-3.216163,51.776304,"On or near Moorland Road","W01001459","Blaenau Gwent 007D","Criminal damage and arson","Under investigation",NA
"3134","94142a4c4fad7a2d34dc7314c238ccf72ab751d3a142a30b27bf6234be8eb2aa","2013-12","Gwent Police","Gwent Police",-3.216163,51.776304,"On or near Moorland Road","W01001459","Blaenau Gwent 007D","Criminal damage and arson","No further action at this time",NA
"3135","adceb2687028abf8998c2d878ac44f75d5e1f06f9a6c5f495690416b684d4853","2013-12","Gwent Police","Gwent Police",-3.216163,51.776304,"On or near Moorland Road","W01001459","Blaenau Gwent 007D","Criminal damage and arson","Under investigation",NA
"3136","745675c2bf43fe025629b4b8546ec44da8afe032cc47a076548fb1fe9e9359df","2013-12","Gwent Police","Gwent Police",-3.216163,51.776304,"On or near Moorland Road","W01001459","Blaenau Gwent 007D","Criminal damage and arson","Under investigation",NA
"3137","47c6567adfa1e5f05a94ded2b44342887540a2d2511a31995cc656f368f8890e","2013-12","Gwent Police","Gwent Police",-3.20653,51.770576,"On or near Railway View","W01001459","Blaenau Gwent 007D","Criminal damage and arson","Offender given a caution",NA
"3160","211f50308896ad4914147b22188f891b1f783d35d444f25004e10ed2e041c1f2","2013-12","Gwent Police","Gwent Police",-3.207932,51.778007,"On or near Bethcar Street","W01001460","Blaenau Gwent 007E","Criminal damage and arson","Offender given a caution",NA
"3161","01d8e4fabb11561ed8056131cf0df917db8efa017da36fe3909d1485613884be","2013-12","Gwent Police","Gwent Police",-3.207327,51.780342,"On or near Market Street","W01001460","Blaenau Gwent 007E","Criminal damage and arson","Under investigation",NA
"3162","ca1ed9268a1c76f3332b4aaa4e3ed037c295ab0192c5ae7463214e064865feb9","2013-12","Gwent Police","Gwent Police",-3.207327,51.780342,"On or near Market Street","W01001460","Blaenau Gwent 007E","Criminal damage and arson","Under investigation",NA
"3163","b3610bed0c78f5e243ff7987e66747924fb6aa82c3b69fa81642a395458301a4","2013-12","Gwent Police","Gwent Police",-3.207556,51.775322,"On or near Parking Area","W01001460","Blaenau Gwent 007E","Criminal damage and arson","Awaiting court outcome",NA
"3164","bdcc136e1a299efa68d45a84ac538a2cd2d1bce9998d2dde1c8d6ff5b6af37fa","2013-12","Gwent Police","Gwent Police",-3.204794,51.773418,"On or near A4046","W01001460","Blaenau Gwent 007E","Criminal damage and arson","Awaiting court outcome",NA
"3165","f2916ccfe5ac0d572db3538be653c8db4bd22c1bac9511d62525634bbd655fc1","2013-12","Gwent Police","Gwent Police",-3.202885,51.768105,"On or near Hospital","W01001460","Blaenau Gwent 007E","Criminal damage and arson","Offender given a caution",NA
"3166","4c14bd6ee2defe89399a16b39e2207541b961117a006793f31e68a0da28063bb","2013-12","Gwent Police","Gwent Police",-3.207556,51.775322,"On or near Parking Area","W01001460","Blaenau Gwent 007E","Criminal damage and arson","No further action at this time",NA
"3167","e624c597068790761b539eadb0acce1d0451bf4343848911c4b050a62a331898","2013-12","Gwent Police","Gwent Police",-3.207292,51.776836,"On or near Parking Area","W01001460","Blaenau Gwent 007E","Criminal damage and arson","Under investigation",NA
"3168","122d2c1761552f0fab02718cdb8497de473f57dd84ff60680846c108d3cb99f9","2013-12","Gwent Police","Gwent Police",-3.207556,51.775322,"On or near Parking Area","W01001460","Blaenau Gwent 007E","Criminal damage and arson","Awaiting court outcome",NA
"3169","ed596f07ada1e7258d461cbe88f2bd5820157e8863cd1d08acf73b8f2b3b694f","2013-12","Gwent Police","Gwent Police",-3.208861,51.769393,"On or near High Street","W01001460","Blaenau Gwent 007E","Criminal damage and arson","Under investigation",NA
"3188","252de4966beff48d6cd38e123765dd4921f188aa518f1bcec898eab602c51937","2013-12","Gwent Police","Gwent Police",-3.211887,51.776833,"On or near Bryn Deri","W01001461","Blaenau Gwent 007F","Criminal damage and arson","Under investigation",NA
"3198","1ecc346d3dd7c3064af1fe7bc4a0fe118dd42b5cd9a1ee69a291d6948a49ce63","2013-12","Gwent Police","Gwent Police",-3.142774,51.733189,"On or near Glandwr Street","W01001435","Blaenau Gwent 008A","Criminal damage and arson","Under investigation",NA
"3199","04b8ae36bbb45f5ad50f02b057479dcc5015bc4334ce3495b76f3eb398aded32","2013-12","Gwent Police","Gwent Police",-3.135936,51.733075,"On or near Ashfield Road","W01001435","Blaenau Gwent 008A","Criminal damage and arson","Under investigation",NA
"3206","e722fed5d56b83d98de33ef59e8f8a1bad236154a1c85417186c25c23de88300","2013-12","Gwent Police","Gwent Police",-3.134582,51.729878,"On or near Supermarket","W01001436","Blaenau Gwent 008B","Criminal damage and arson","Under investigation",NA
"3215","19ad9390c2f0f5a0a895ed932565f4497663e82da8bd9f85569e75e97e01f13a","2013-12","Gwent Police","Gwent Police",-3.131449,51.736634,"On or near Cefn Crescent","W01001437","Blaenau Gwent 008C","Criminal damage and arson","Awaiting court outcome",NA
"3225","db0b621c387ee9f9fd438197e18f47115cba5d8146b5c55e0eb455b33713f011","2013-12","Gwent Police","Gwent Police",-3.145714,51.734895,"On or near Parking Area","W01001453","Blaenau Gwent 008D","Criminal damage and arson","No further action at this time",NA
"3236","e83c666bb6fe337c0eafe2724a422f32462004a09f85827f3543dfc7910e2e95","2013-12","Gwent Police","Gwent Police",-3.131964,51.739255,"On or near Valley View Road","W01001454","Blaenau Gwent 008E","Criminal damage and arson","No further action at this time",NA
"3249","4bce132dd33d54c5a002f7f51ef1ab28dc82452bc027897890ba7f0d623a1400","2013-12","Gwent Police","Gwent Police",-3.138256,51.735471,"On or near Victoria Street","W01001455","Blaenau Gwent 008F","Criminal damage and arson","No further action at this time",NA
"3250","8223df9ac726f2c40e7a21789ac0a97e19f0687cc53779bb479161d58ec6f79e","2013-12","Gwent Police","Gwent Police",-3.133303,51.737201,"On or near Petrol Station","W01001455","Blaenau Gwent 008F","Criminal damage and arson","Under investigation",NA
"3251","b1f458ee5d970fa1a53ebf0c23d0dc2b7f7b7a4875dcf58bda31a5ec22c6cc7d","2013-12","Gwent Police","Gwent Police",-3.136106,51.734063,"On or near Oxford Street","W01001455","Blaenau Gwent 008F","Criminal damage and arson","Under investigation",NA
"3261","ad4feb428bee9eee7dfbc4c93623ca25806fe3c0ccadc11fb14fa4dd6410527e","2013-12","Gwent Police","Gwent Police",-3.13764,51.683857,"On or near Kier Hardie Terrace","W01001464","Blaenau Gwent 009A","Criminal damage and arson","Under investigation",NA
"3262","fab7bd3a3ff520e40c418833e6afc9905b225ef0146188670d16c19768263ffb","2013-12","Gwent Police","Gwent Police",-3.128237,51.683237,"On or near Acre Close","W01001464","Blaenau Gwent 009A","Criminal damage and arson","No further action at this time",NA
"3263","1df899763ba3d85a0764b085cd09bbb3085fcb7e5a2b7a66c888ad797e72cb1e","2013-12","Gwent Police","Gwent Police",-3.13764,51.683857,"On or near Kier Hardie Terrace","W01001464","Blaenau Gwent 009A","Criminal damage and arson","No further action at this time",NA
"3264","e9f213cb2b746421c3a53d2f22fe319360a53f3cfa6e7ea1bb1523842b4fb673","2013-12","Gwent Police","Gwent Police",-3.133436,51.68289,"On or near Baillie Smith Avenue","W01001464","Blaenau Gwent 009A","Criminal damage and arson","Under investigation",NA
"3281","4e96d53d40fa54e361f7267436e7aaf655daa7117ff3de48b296b6ea7aa71e98","2013-12","Gwent Police","Gwent Police",-3.138961,51.70305,"On or near Bryn Crescent","W01001466","Blaenau Gwent 009C","Criminal damage and arson","No further action at this time",NA
"3282","e45dcd7b2855575d7511a17f474665e5df2b1f253cbbbb172e8b3d39dcf45056","2013-12","Gwent Police","Gwent Police",-3.135988,51.699914,"On or near Railway Street","W01001466","Blaenau Gwent 009C","Criminal damage and arson","Under investigation",NA
"3303","7260027496fe2606eff33ad7a7a78fcc36a1793ac4aa00bb9eb1782c627f28e1","2013-12","Gwent Police","Gwent Police",-3.13029,51.722106,"On or near Arail Street","W01001476","Blaenau Gwent 009D","Criminal damage and arson","Under investigation",NA
